0	1
1.42074	1.5403
2.45465	1.34636
3.07056	2.08887
3.6216	3.04234
4.52054	5.9912
5.86029	5.87204
7.32849	7.30059
8.49468	8.39186
9.20606	9.77669


0	1	0	0
0.0184121	1	0.000191613	0.0184121
0.0368242	1.00001	0.000766454	0.0368243
0.0552364	1.00003	0.00172452	0.0552368
0.0736485	1.00008	0.00306581	0.0736499
0.0920606	1.00015	0.00479034	0.092064
0.110473	1.00025	0.00689808	0.11048
0.128885	1.0004	0.00938906	0.128898
0.147297	1.0006	0.0122633	0.147319
0.165709	1.00086	0.0155207	0.165745
0.184121	1.00118	0.0191613	0.184175
0.202533	1.00157	0.0231852	0.202613
0.220945	1.00203	0.0275923	0.221058
0.239358	1.00258	0.0323827	0.239512
0.25777	1.00323	0.0375562	0.257978
0.276182	1.00397	0.043113	0.276456
0.294594	1.00482	0.049053	0.294949
0.313006	1.00578	0.0553763	0.313458
0.331418	1.00686	0.0620827	0.331986
0.34983	1.00807	0.0691724	0.350536
0.368242	1.00941	0.0766454	0.369108
0.386654	1.01089	0.0845015	0.387707
0.405067	1.01252	0.0927409	0.406335
0.423479	1.01431	0.101363	0.424994
0.441891	1.01626	0.110369	0.443687
0.460303	1.01838	0.119758	0.462417
0.478715	1.02067	0.129531	0.481189
0.497127	1.02315	0.139686	0.500004
0.515539	1.02582	0.150225	0.518867
0.533951	1.02868	0.161147	0.53778
0.552364	1.03175	0.172452	0.556748
0.570776	1.03503	0.18414	0.575775
0.589188	1.03854	0.196212	0.594864
0.6076	1.04226	0.208667	0.61402
0.626012	1.04622	0.221505	0.633246
0.644424	1.05042	0.234726	0.652547
0.662836	1.05487	0.248331	0.671928
0.681248	1.05957	0.262319	0.691394
0.699661	1.06453	0.27669	0.710948
0.718073	1.06976	0.291444	0.730596
0.736485	1.07526	0.306581	0.750342
0.754897	1.08105	0.322102	0.770193
0.773309	1.08713	0.338006	0.790153
0.791721	1.0935	0.354293	0.810228
0.810133	1.10018	0.370964	0.830422
0.828545	1.10716	0.388017	0.850743
0.846957	1.11447	0.405454	0.871195
0.86537	1.1221	0.423274	0.891784
0.883782	1.13006	0.441477	0.912517
0.902194	1.13836	0.460064	0.9334
0.920606	1.147	0.479034	0.954438
0.939018	1.156	0.498386	0.975639
0.95743	1.16536	0.518123	0.997009
0.975842	1.17508	0.538242	1.01855
0.994254	1.18518	0.558745	1.04028
1.01267	1.19566	0.579631	1.0622
1.03108	1.20652	0.6009	1.08431
1.04949	1.21779	0.622552	1.10663
1.0679	1.22945	0.644588	1.12916
1.08631	1.24153	0.667006	1.15191
1.10473	1.25402	0.689808	1.17488
1.12314	1.26693	0.712994	1.19809
1.14155	1.28027	0.736562	1.22154
1.15996	1.29406	0.760514	1.24524
1.17838	1.30828	0.784849	1.26919
1.19679	1.32296	0.809567	1.29342
1.2152	1.3381	0.834668	1.31791
1.23361	1.3537	0.860153	1.34269
1.25202	1.36977	0.88602	1.36777
1.27044	1.38633	0.912271	1.39314
1.28885	1.40337	0.938906	1.41882
1.30726	1.4209	0.965923	1.44482
